Plant Type,Event Start,Event End,Phase,,
Basil,81,91,Germination,,
Basil,91,141,Growth,,
Beets,1,5,Germination,,
Beets,5,61,Growth,,
Cantalope,51,58,Germination,,
Cantalope,58,151,Growth,,
Carrots,1,7,Germination,,
Carrots,7,81,Growth,,
Cucumbers,61,64,Germination,,
Cucumbers,64,106,Growth,,
Kale,1,5,Germination,,
Kale,5,51,Growth,,
Lettuce,1,10,Germination,,
Lettuce,10,81,Growth,,
Parsley,1,14,Germination,,
Parsley,14,76,Growth,,
Radishes,1,5,Germination,,
Radishes,5,26,Growth,,
Spinach,86,98,Germination,,
Spinach,98,131,Growth,,
